"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE"
"xgb",5160,30.678,165.568,7.465,5.518,0.7,15038.32,0.197
"stack",5160,36.123,199.556,11.663,3.791,0.825,17707.348,0.232
"lgbm",5160,55.49,276.366,20.922,5.043,1.267,27201.064,0.357
"snaive168",5160,798.403,1236.742,81.265,20.23,18.228,391377.078,5.13
"snaive24",5160,870.151,1349.625,80.949,21.801,19.866,426548.263,5.591
