"phase","type","artifact","elapsed_s","status","log_file"
"01","QMD","qmd/01_eda.qmd",56,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_01_eda.txt"
"02","QMD","qmd/02_data_quality.qmd",23.2,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_02_data_quality.txt"
"03","QMD","qmd/03_climate_integration.qmd",14.4,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_03_climate_integration.txt"
"04","QMD","qmd/04_clustering.qmd",13.3,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_04_clustering.txt"
"05","QMD","qmd/05_forecasting.qmd",13,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_05_forecasting.txt"
"06","QMD","qmd/06_benchmark.qmd",9.2,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_06_benchmark.txt"
"07","QMD","qmd/07_etica_privacidad.qmd",8.6,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/render_07_etica_privacidad.txt"
"08","R","R/08_dashboard/08a_prepare_dashboard_tables.R",6.1,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/run_08a_prepare_dashboard_tables.R.txt"
"app","ASTRO","app",2.8,"OK","C:/Users/alber/Desktop/TFM/TFM_codigo/outputs/logs/build_astro_app.txt"
