"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE","cluster"
"xgb_cluster_1",215,622.823,1352.87,110.956,13.463,10.706,12721.151,0.74,1
"xgb_cluster_2",215,1029.464,2832.674,31.329,7.023,3.247,21026.797,1.704,2
"xgb_cluster_3",215,1820.341,4860.114,72.853,8.188,4.323,37180.471,1.078,3
"xgb_cluster_4",215,651.713,1494,21.659,7.926,5.709,13311.236,0.361,4
"xgb_cluster_5",215,741.57,1428.204,37.713,18.236,24.067,15146.569,3.824,5
"xgb_cluster_6",215,424.763,1336.705,170.796,7.879,3.874,8675.776,1.076,6
