"slice","MAE","WAPE","best_model"
"season=Invierno",5094.057,4.378,"xgb"
"season=Otono",1796.43,1.686,"xgb"
"season=Verano",1317.237,1.436,"xgb"
"dow=Fri",2102.107,2.015,"xgb"
"dow=Mon",2268.718,2.144,"xgb"
"dow=Sat",2094.11,2.054,"xgb"
"dow=Sun",2218.307,2.131,"xgb"
"dow=Thu",5438.014,5.119,"xgb"
"dow=Tue",2009.506,1.879,"xgb"
"dow=Wed",2208.446,2.078,"xgb"
