"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"c6b78eecc57d2434654d49f4b2c5258d16fb9941fb2e59338cea673001a15187","extremos horarios",15937,0,0,114,12277.897,0,0,347,308468.9701,12277.897,3.814935,0.002779977
"417eefaadac45e886d21f6e4445d4ea8484e99f64547998f01eb6ef632990c30","negativos",48601,625,156,0,0,0,0,0,0,156,3.685136,3.5322e-05
"31d21922a47bba2f3a8246e30164dcdf9f15747d7cc291eee5f4a7ef39f053c0","extremos horarios",53385,0,0,262,27185.657,0,0,1180,846723.3499,27185.657,2.794559,0.006155411
"8029f3edc2efe87ff1fc8680693850848066fbeec2028083126bcdf0de85ef7c","extremos horarios",4537,0,0,49,5071.012,0,0,178,180099.7602,5071.012,2.784823,0.001148185
"c47067ff5b2d9a89ab22360c10fe771bddab9ccdba660f239b5bc818c0ef64e0","extremos horarios",35329,0,0,252,27125.522,0,0,1472,1117569.112,27125.522,2.427157,0.006141795
"189262a19fe60e4fb536277476e1ba10902d893ed130e11a0f5aec4a5ddcd626","extremos horarios",52428,0,0,1,1049.605,0,0,1,1078.618,1049.605,1.500881,0.000237653
"2ae8e303090a52514556c1f6e13378a3733e7b26e893b74680c47c20181be6f0","extremos horarios",21529,0,0,16,1950,0,0,158,98949,1950,1.381088,0.000441521
"b90a43ffff9f498298148769f554a94be260a23c4f95f55fdfe6712d77a1c96c","extremos horarios",27516,0,0,40,4246,0,0,712,374185,4246,1.010892,0.000961385
"aa4fbec24a89319508bbb6d01ff1b6214843d1bd5de413fe0eb351ca4ec836c5","extremos horarios",18096,0,0,55,5838,0,0,754,797268,5838,0.732217,0.001321847
"c966e80e4859e94d9e1eade23be0c9e45b09e24a242f62f4d0d15c35594f6a96","extremos horarios",35112,0,0,92,9593.861,0,0,1463,1518156.8058,9593.861,0.631927,0.002172254
"ac6bc1dd5d06186682cc7f64dc5988e845d68ec01a7e0a4c81f2c6768781aa8d","extremos horarios",30361,0,0,29,3137.754,0,0,921,613222.8479,3137.754,0.474639,0.000710454
"fec18f2a216cb37f85b76340f050e75268a6c272f1e095bc66b49590539d8d7b","extremos horarios",31249,0,0,35,3777,0,0,1302,900674,3777,0.419345,0.000855193
"2d8d65934dd254a249a782171f17ea2b630f7570da1404778fae0b7c8f38d9db","extremos horarios",2137,0,0,2,222,0,0,89,117272,222,0.189213,5.0266e-05
"5e93ad72991620b8b6a4730f072a13a5406d6fb29adf88a91f00ccf57a21295f","extremos horarios",15937,0,0,8,825,0,0,431,465312,825,0.171273,0.000186798
"89d0e638b790654fe8ab90d93536afc0aaa5e8ec7303e251282ae51e44914142","extremos horarios",14641,0,0,3,314,0,0,441,245795,314,0.115434,7.1096e-05
"013e655c2980faf1e8773b04f64c573dbe862f455b3d8c607d2ed73b44182115","extremos horarios",53557,0,0,15,1560,0,0,2224,2196488.5376,1560,0.070979,0.000353217
"69bd4d6eb39c93c193f1bb4a35d6be75f51c5630c6ac4ff9ae76ddd5cc191c96","extremos horarios",15552,0,0,1,103.355,0,0,326,128210.442,103.355,0.0646,2.3402e-05
"27335ed93f282f67cf5569d8f7bf3c6899a33cf6b1e93177428fb3298383923f","extremos horarios",53461,0,0,2,202.889,0,0,1078,548327.7518,202.889,0.029185,4.5938e-05
"7df8c226ffa2aecab9b53d1def01d03ee3d4b2212d776179c9846a535d3ef258","negativos",50209,6,0.006,0,0,0,0,0,0,0.006,3.2e-05,1e-09
