"user_id","first_ts","last_ts","span_days","total_records","distinct_days","n_nulls","n_zeros","n_negativos","span_days_inclusive","coverage_pct","zero_pct","null_pct"
"c17f93981384f5646b0759b9cece9ce21d6df707d77adaf0f815d0bcaa78118e",2017-05-31,2024-01-25,2430,58321,2431,0,1288,0,2431,100,2.21,0
"e092d5dd8655e97b9b3421a50b35ca919802f2f5592a3fc32c0ef519c0f158eb",2017-05-31,2024-01-25,2430,58321,2431,0,9,0,2431,100,0.02,0
"e08e62f76a8218deb5f6f7d6345a44e5538a242016918c2aeef4a365b328c735",2017-05-31,2024-01-25,2430,58321,2431,0,1585,0,2431,100,2.72,0
"e0f32d616e68dbb8b06ae82310aab43472075e08974fc9671de3900cd1ce443a",2017-05-31,2023-01-26,2066,49585,2067,0,2,0,2067,100,0,0
"e0a51041fbbc2f981524849e6ea53d502306b9ae94ca6edf5153317453f29d8e",2017-05-31,2024-01-25,2430,58321,2431,0,632,0,2431,100,1.08,0
"e17965ba615cce3678257347efe34e8abef7f402056eb67b0f5380c88881318b",2017-05-29,2024-01-24,2431,58345,2432,0,65,0,2432,100,0.11,0
"e15993de114351432c15245cd0e7d0cb15b8bc44a8490b7c066ba97075e47c17",2017-05-31,2024-01-24,2429,58297,2430,0,42755,0,2430,100,73.34,0
"f17ba74af913336f7c599e68e7cc02f11b8e1323045b45120fcb0bb1df4ca47d",2017-08-14,2020-11-20,1194,28657,1195,0,114,0,1195,100,0.4,0
"f1d390fb1b419990407b6deb28fec0a3bd0d384982d3bd61e9fe789caf0b2044",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"f3549d02cf9d53292faa1b0b5a2106bc197a03def5927b032a2e63f025ab8d61",2017-05-31,2024-01-25,2430,58321,2431,0,4,0,2431,100,0.01,0
"f2a6ca84667e3d4643681a399a687dd53bb8e385312538b2671bede204bd991c",2017-05-31,2024-01-25,2430,58321,2431,0,1845,0,2431,100,3.16,0
"084ac51ce36a439fee9391c7049cbb566d96adb186b2f5328fe60a814d0347db",2017-12-12 01:00:00,2023-03-30 23:00:00,1934,46439,1935,0,21,0,1935,100,0.05,0
"266847b995ea5fea37a126e798fded0212919f7359e8b42f273668896fdc9aeb",2018-11-20 01:00:00,2024-01-25,1892,45408,1893,0,144,0,1893,100,0.32,0
"3324bad8aa33dbf629705a77d2d383966a20e55e3fec4fcf5572e8a6645b5400",2017-07-31,2018-07-27 23:00:00,361,8688,362,0,0,0,362,100,0,0
"3b132b6f97c43cd044aaf1d24cabf50a58fb98b2d54f2e79267c8a69fc199eac",2017-06-06,2024-01-25,2424,58177,2425,0,3175,0,2425,100,5.46,0
"3bba079c3b42bd06adf82b16f85d4d1e0474d3a8f16f37ee1363a021fcf1a0fc",2018-07-17,2024-01-25,2018,48433,2019,0,3,0,2019,100,0.01,0
"3bc366b47621e91b005950e845636b2baf4a83e01115450954147b64cd40fa6e",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"49116101c204f22f606dffb4cad9fd5161a17caa4f47fd185ae438c7dbca9014",2017-05-31,2020-06-30 23:00:00,1126,27048,1127,0,16,0,1127,100,0.06,0
"4916f554c5b716aec911b2daf2f25172378bd168e2d3c152a93a5c93e38d49aa",2018-09-06,2024-01-25,1967,47209,1968,0,2539,0,1968,100,5.38,0
"558831117745000311e4800830f2ef75813f7c9a472277709ff7ba641ed786ea",2018-12-31 01:00:00,2024-01-25,1851,44424,1852,0,32,0,1852,100,0.07,0
"56997980600a30317a357694a794cceb812709f5758309933942e6d043e673eb",2018-02-14 01:00:00,2022-06-03 23:00:00,1570,37703,1571,0,35348,0,1571,100,93.75,0
"61db4c5674f5d2b3e32652faceb12b06e424ea774e8714da26bc186b9491af61",2017-05-31,2024-01-25,2430,58321,2431,0,355,0,2431,100,0.61,0
"6210f14a462955a5688f7fe54b3bb5cec184630c29e56df3fd5e16a83cf78f88",2017-05-31,2024-01-25,2430,58321,2431,0,566,0,2431,100,0.97,0
"7b4a7d514accdfa4305400619283965d25df14488669bbddef7df08977c78061",2017-05-31,2024-01-25,2430,58321,2431,0,2140,0,2431,100,3.67,0
"86e0e8c2e0e480151358089748d11e6c93d4879672d4ca965b9ac499b33ccfd1",2017-06-04,2023-08-17 23:00:00,2265,54384,2266,0,6,0,2266,100,0.01,0
"86d0d74f7509398bb23f9eafdc73dbe455710f5368b4ca32600e81add2598b98",2017-07-04,2024-01-25,2396,57505,2397,0,2,0,2397,100,0,0
"8cb894d59b171e639ba9fd2deb4d2abc58ce9d40f191eb4f6f11c4404937439e",2017-05-30,2022-11-04,1984,47617,1985,0,3,0,1985,100,0.01,0
"9c1f1a33b99ccbd3da413e59173fa21ed36904894168b6d7526d090df3b7374c",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"b2aa27655a4f349290b2ed5d68781a3a7d67305332f76502c9667c9280a654b8",2018-04-03,2021-04-14 23:00:00,1107,26592,1108,0,12,0,1108,100,0.05,0
"b42fd2f28d2369a35d8be7dfb7777e0c349e516a9e85201862713bc92c436515",2017-05-31,2021-11-05,1619,38857,1620,0,2,0,1620,100,0.01,0
"b4ac85bf0af7b47fafb8b1ca90655932a8749be5ac12409cecc25664334b5e68",2017-05-31,2022-09-05 23:00:00,1923,46176,1924,0,104,0,1924,100,0.23,0
"cd68648809d783f928c64c1702c35c09753468e1fedf0de8ed70cd3bf754f7e6",2017-11-08 01:00:00,2021-05-31 23:00:00,1300,31223,1301,0,12242,0,1301,100,39.21,0
"d9af5018f2edb98b197f95b46e1f40c2872cae28e3c7d49fc4a041346cfb5d01",2017-10-18,2020-03-25,889,21337,890,0,454,0,890,100,2.13,0
"d9c1fdd8a1e02d046792d1d80b8cc9cbef85b85d2056796bb183f4013ef4c615",2017-07-20,2024-01-25,2380,57121,2381,0,7,0,2381,100,0.01,0
"e6c624ed4e30ca92bff6b2b31ce1a99a38643dfda572e958373a278f7979b3e9",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"e72ef59278b9a15dc8e45c0bd6a912d808aa214c19541b2e8347eb6e0af4060c",2017-05-31,2020-11-19,1268,30433,1269,0,0,0,1269,100,0,0
"e5fcc83925a50a34e42a048eef802800027957af42e1657427d8d8f7c0e61f63",2017-05-31,2024-01-24,2429,58297,2430,0,10764,0,2430,100,18.46,0
"e70c0b0e388d1ad3ae1aa5930169cad4235700548fefa12de297f402765f3cfa",2017-05-31,2022-05-23 23:00:00,1818,43656,1819,0,2715,0,1819,100,6.22,0
"e721029af9ea70e3224f9c3c85a379eb1f75631f56ff68666b54d250e5a7f31c",2017-05-31,2024-01-25,2430,58321,2431,0,4,0,2431,100,0.01,0
"ff52e132fa858ad287765e81ab99c023b03a5d3c9a396a0d575409fb73bbf61a",2018-02-25 01:00:00,2024-01-25,2160,51840,2161,0,1519,0,2161,100,2.93,0
"ff0556c6113949c612bdb87e838d3c45bd936b2839bae950a5e6ebd735e5c9cd",2017-05-31,2024-01-25,2430,58321,2431,0,5,0,2431,100,0.01,0
"fe73e986873777ffb1973d9ab36485992bebe057ae6bbef6247a5070e9263504",2018-07-01,2022-05-03 23:00:00,1402,33672,1403,0,3119,0,1403,100,9.26,0
"ff3ef2e2ee743ecf5e0d5719c8f7d1fbcafcac1da4d79d1de32e9c03ed47e6fb",2018-09-17,2021-11-16,1156,27745,1157,0,4,0,1157,100,0.01,0
"095260b5648cc671ea0ac7878f6997de03e56ee276df69e46a857256f2404188",2019-07-01,2024-01-23 01:00:00,1667,40010,1668,0,6,0,1668,100,0.01,0
"11cdb8ea43fe19400086ea2c032d996cb72129e6f5df39e6da1c4f7f888ef6c3",2018-02-14 01:00:00,2024-01-25,2171,52104,2172,0,26,0,2172,100,0.05,0
"18c9eb665abe2fe3284c39168cbaf3e383329373d951cbee4e06cf97bb9d2acb",2017-10-05,2023-04-20 23:00:00,2023,48576,2024,0,43233,0,2024,100,89,0
"18c49ce2aed0319a0b62a2123027d5b44b63bea47a0c4db511b85edd05a5879f",2018-07-23,2024-01-25,2012,48289,2013,0,0,0,2013,100,0,0
"254a8196ef771afc6d5804bfdd3c56c7352af111179a540d982e7150616586fe",2017-08-30,2024-01-25,2339,56137,2340,0,10,0,2340,100,0.02,0
"23c10aec5ddf3cfc7a783023d0f12aa221bf364a54d39441a6f04947f698045a",2017-11-03 01:00:00,2024-01-25,2274,54576,2275,0,25501,0,2275,100,46.73,0
"3550451d5724e1d14f0371ba65a1000e919be2743d67ece5ef38adb9f8ba1fbe",2017-05-31,2024-01-25,2430,58321,2431,0,6,0,2431,100,0.01,0
"3587c99506776acbf9fa9ddcab9bd45305c9698c78a99903f7694d8b2fa8b0a7",2017-08-23,2024-01-25,2346,56305,2347,0,27,0,2347,100,0.05,0
"349aa657469e646fa19e6e3608f6611f8feae99436f5d1621e7acdf23e9482af",2017-10-17,2024-01-25,2291,54985,2292,0,5,0,2292,100,0.01,0
"3e1dd832633ebecccb76e894d5103acbd61215f77df67bd065202a81cbe0ba6d",2019-08-27,2024-01-25,1612,38689,1613,0,6567,0,1613,100,16.97,0
"3d9e76ceb1f0925d315687eba19ee15a0c03edd6519fc37d4ce4dc5e38819a76",2019-07-03,2022-03-28 23:00:00,999,24000,1000,0,604,0,1000,100,2.52,0
"483991c77aee0bde8ffe994641f13ec48074a168779c15f1101dc6716b8a9ac7",2017-10-17,2024-01-25,2291,54985,2292,0,533,0,2292,100,0.97,0
"5142aaef0aa2f95697a74b1c0d07913cad0546b15ca6694efda00b182073d16c",2019-03-20 01:00:00,2024-01-24,1771,42504,1772,0,8,0,1772,100,0.02,0
"5c709dc0f9bf587d21f518b6b39bb7b8c619525a9bfb28f886f9d7692a29a8ab",2018-11-14 01:00:00,2024-01-24,1897,45528,1898,0,6,0,1898,100,0.01,0
"5d573d9b4163ee30e226fcb872e7447424678b1ea7f48ec741eaf1c0aee8cdeb",2018-11-14 01:00:00,2024-01-25,1898,45552,1899,0,0,0,1899,100,0,0
"67748efd400841287ea8531f763280d0daf1dc914a49ab555c82d079ea194df6",2017-08-15,2024-01-24,2353,56473,2354,0,18981,0,2354,100,33.61,0
"795f2eb8cd08ef932af68e4c08c567067820abb761eab78962aec6fa4816c9d8",2017-05-31,2024-01-25,2430,58321,2431,0,7864,0,2431,100,13.48,0
"81af375abbeb5ab7e4c556b66432198adc96f7d178b026f7bc51db2cd66525b8",2018-07-18,2024-01-25,2017,48409,2018,0,3,0,2018,100,0.01,0
"81f1e328417b8815c5634d75d19611c73649d8a65e2c12bd9d1b622d2fc77e62",2019-03-05 01:00:00,2021-11-22,993,23832,994,0,164,0,994,100,0.69,0
"8ae0ee8d9dbddaf2ff3572ce5b03e30dd35a1c8f1e71c20e0de5a8769337053a",2019-06-13,2022-09-23 23:00:00,1198,28776,1199,0,144,0,1199,100,0.5,0
"8b2d0ea2a062da846aa1a6681abfafa0ecfab165d363b1bb79f74eef2dc3c7df",2019-10-01,2021-11-22 21:00:00,783,18814,784,0,2,0,784,100,0.01,0
"8b0631b536fbbfd334f1ac22d865f8f58bb93ff7cd560e4d369f5454db1a6aa3",2018-11-26 01:00:00,2023-09-27 23:00:00,1766,42407,1767,0,7,0,1767,100,0.02,0
"98714f6af2c7fbfc18a45e0f4719598cfa362f58d45545ce101fe52f25a254df",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"a3fa34ed83923b7011633eb560d0eede75edfcc21bdd440b096d8dbb38a1d20a",2017-05-31,2024-01-25,2430,58321,2431,0,18,0,2431,100,0.03,0
"a420e6a40d75f010087cf51f1488931ca2a05ff9654d558c929eedd9d5a89b74",2019-09-13,2020-01-24,133,3193,134,0,0,0,134,100,0,0
"a4de7ba3563c687e42a4947495869ebaccafb2068fb9bb8ce45b13dc43cf4c0e",2019-09-09,2024-01-25,1599,38377,1600,0,13349,0,1600,100,34.78,0
"a4010fb754864003e7a56e187b1559df0288c625af098450567441f55071ac68",2018-11-29 01:00:00,2019-01-26,58,1392,59,0,10,0,59,100,0.72,0
"ad47326de4f17c7c80a589e75f05116665c2588825a4469e5bfb8a67629c3084",2019-06-12,2024-01-25,1688,40513,1689,0,10,0,1689,100,0.02,0
"add648206e56ff79a5fb0f40156e861c745d37d5656f632185910f294d7ada49",2018-08-13,2024-01-25,1991,47785,1992,0,8,0,1992,100,0.02,0
"ac81b9f4518ec6b141496b1a0e0c6746a2e1ed38248faced266d786b43a43522",2018-12-04 01:00:00,2024-01-25,1878,45072,1879,0,0,0,1879,100,0,0
"b6a40063e11aaadb23577a49f5fe03d75071c914f04461ffb75e5fbf49d79bcf",2017-05-31,2021-10-25 23:00:00,1608,38616,1609,0,0,0,1609,100,0,0
"b63af14d3e655c5a37bb578138c1287d9b4a37ac02b97bfe3af94698244cda5d",2017-05-31,2023-12-05,2379,57097,2380,0,18,0,2380,100,0.03,0
"bf8ee04a3e7ff1f2148490a7ad6b5dea2a7fa4e88cef5f970ec16bdbdac11b82",2017-05-31,2024-01-25,2430,58321,2431,0,5921,0,2431,100,10.15,0
"c53efca3e62da6a91fb261d860631fd0285940a79da8b417fe8b6c87734ff2be",2018-02-08 01:00:00,2024-01-25,2177,52248,2178,0,6,0,2178,100,0.01,0
"c5b7351341801ad1b946d43097c5dc2e172c82e0a8e99097ea53865114cc87f1",2017-05-31,2024-02-01,2437,58489,2438,0,1495,0,2438,100,2.56,0
"d0d9e2af405f7a9a11f22d159aa94d57dedd98090d344320d3dd788cadcca939",2017-05-31,2021-10-25 23:00:00,1608,38616,1609,0,8,0,1609,100,0.02,0
"d06e879a18da84b7059d4fbb2de3d0f3323f62b0a67cf7db8e9ff320461e01b4",2017-05-31,2024-01-25,2430,58321,2431,0,26,0,2431,100,0.04,0
"d8a050a5fc7b33a7feb40d4534ab139edc9e688dc5155708bfe29a220bfe5aab",2017-05-31,2024-01-25,2430,58321,2431,0,0,0,2431,100,0,0
"d9caa7545c13a7ebd4d39d770ef5e4c77ad8de8af1b547f4a0b27d6235daca53",2019-09-03,2021-11-23,812,19489,813,0,11083,0,813,100,56.87,0
"e122c5c824e3b91314653ef164fe25714c0d9ad932fe2a15d11ce2dd68f63895",2019-03-07 01:00:00,2024-01-24,1784,42816,1785,0,9,0,1785,100,0.02,0
"e1f641a41a9d2c1a3cca68088ca99cca6dd60e14c49d6d84e12bdf1d697da227",2018-09-25,2024-01-25,1948,46753,1949,0,0,0,1949,100,0,0
"e2c40e4b21c222defe38287706145767ca98898d03266343080aeb12bfb939b7",2019-03-07 01:00:00,2024-01-25,1785,42840,1786,0,365,0,1786,100,0.85,0
"e1d108cbe0c0efab573edabbb172cc8c6ca970bae57a582afdc949e270ced95b",2017-05-31,2024-01-24,2429,58297,2430,0,6795,0,2430,100,11.66,0
"e2acebb60471234c1bd22cb7d29decd3999d5490c978e393b49c8dcc1c0ead62",2017-05-30,2024-01-24,2430,58321,2431,0,0,0,2431,100,0,0
"f27bdf5bcf714b58cf13c1361f1ebb742ba4c539d63ac0276a9a547ec8db0851",2019-05-17,2024-01-25,1714,41137,1715,0,39,0,1715,100,0.09,0
"fc1b7a53724b5b147cd529d2da0af4e9b9b43c58df86c05c947366d0ea64e782",2017-05-31,2024-01-25,2430,58321,2431,0,6,0,2431,100,0.01,0
"059ac9818c52e20ad8ba2d21bea223443eaaf18745071fde21f46c0d020c614b",2017-05-31,2024-01-25,2430,58321,2431,0,377,0,2431,100,0.65,0
"0627d246a001ef71d635b28bae8c7163a7d7faddb38cc8277c08a67a5e6f9715",2017-07-29,2024-01-25,2371,56905,2372,0,10,0,2372,100,0.02,0
"055a26ce306a9403fb65a793d76ecaa6e32d3ddb3ed88e443be6b67adcf0695b",2020-06-15,2024-01-25,1319,31657,1320,0,0,0,1320,100,0,0
"051c162077d1278699e05a191bb98cf71201e3062546d770affcddda1914447a",2017-05-31,2024-01-25,2430,58321,2431,0,1955,0,2431,100,3.35,0
"0e2779d281b0d98bf5765a6c16eb079a4bb8f4ab9f24b21fb00e27dbe4d83198",2018-03-01 01:00:00,2024-01-25,2156,51744,2157,0,0,0,2157,100,0,0
"137c6a44959a93fc0cb4d69aa1204027d4c6fddb385bf5b10b17045639ff65d1",2017-05-31,2024-01-18,2423,58153,2424,0,6,0,2424,100,0.01,0
"141d0d8dfe460d5e64c52a53497b2e275fccfe0b06225a38a52a5b170dbba1c8",2017-05-31,2024-01-25,2430,58321,2431,0,3,0,2431,100,0.01,0
"13bdf8c01815e890bf388ee82c8e45122546ec133601acbe0e73e9e78e29ad9d",2020-09-28,2024-01-25,1214,29137,1215,0,1288,0,1215,100,4.42,0
"13d817088fb23863f537b8e1ad1a600496727081d497a7ef5fe7c1ab2098820b",2020-02-09 01:00:00,2024-01-24,1445,34680,1446,0,1,0,1446,100,0,0
"1b809df5595cb80527449f988befbad1ca3319761265d7e7c7093037313ff00b",2017-05-31,2024-01-25,2430,58321,2431,0,39,0,2431,100,0.07,0
"19ef5fe17dd2f3c671ea8f8023dcd427a667c057b2dcd24b8a89229d87badaa4",2017-05-30,2024-01-25,2431,58345,2432,0,5,0,2432,100,0.01,0
"23c28016bfb44df36fa76155bd7bf32082684eab562b882f70556ffdb191fa41",2018-07-06,2024-01-25,2029,48697,2030,0,17,0,2030,100,0.03,0
