"date","kWh_total","n_users","hdd_mean","cdd_mean","tmed_mean","any_holiday","coverage_ref_n_users","coverage_pct","coverage_ok","terminal_invalid","retained_for_forecast","coverage_rule"
2016-02-10,3.01400001719594,1,8.9,0,6.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-11,2.51599999517202,1,8.1,0,6.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-12,2.51099997572601,1,5,0,10,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-13,2.11199999600649,1,2.6,0,12.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-14,1.41100001893938,1,10,0,5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-15,3.02599999774247,1,11.8,0,3.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-16,2.57099999394268,1,12.8,0,2.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-17,2.6210000179708,1,14.6,0,0.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-18,3.01100000366569,1,11,0,4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-19,3.49699998646975,1,11.3,0,3.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-20,1.95500000938773,1,9.6,0,5.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-21,3.08099998906255,1,8,0,7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-22,3.62500002235174,1,7.7,0,7.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-23,2.20099998917431,1,7.2,0,7.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-24,2.79900001268834,1,8.8,0,6.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-25,3.50000002328306,1,7.2,0,7.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-26,2.74199998937547,1,8.7,0,6.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-27,3.13500001654029,1,12.2,0,2.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-02-28,2.4779999833554,1,9.2,0,5.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
