"cluster","cluster_label","cnae_section_label","n_users","enrichment_ratio","is_interpretable"
5,"C5","M Profesionales",14,2.363,FALSE
5,"C5","N Administrativas",3,1.252,FALSE
5,"C5","O Administracion",20,0.841,TRUE
5,"C5","P Educacion",9,1.819,FALSE
5,"C5","Q Sanidad",3,1.068,FALSE
5,"C5","R Arte y ocio",13,2.842,FALSE
5,"C5","S Otros servicios",13,1.415,FALSE
5,"C5","T Hogares",704,0.926,TRUE
6,"C6","E Agua y residuos",4,2.544,FALSE
6,"C6","F Construccion",1,0.224,FALSE
6,"C6","G Comercio",2,0.145,FALSE
6,"C6","H Transporte",4,0.242,FALSE
6,"C6","I Hosteleria",3,0.574,FALSE
6,"C6","K Finanzas",2,1.983,FALSE
6,"C6","N Administrativas",1,0.525,FALSE
6,"C6","O Administracion",407,21.639,TRUE
6,"C6","P Educacion",5,1.276,FALSE
6,"C6","R Arte y ocio",2,0.553,FALSE
6,"C6","S Otros servicios",3,0.412,FALSE
6,"C6","T Hogares",263,0.437,TRUE
