"user_id","gap_start","gap_end","gap_days"
"95161905d7b70d3e94034c6ff3dcc1bbe182b4e9abac017cacd08a4623ed39bb",2019-01-02,2019-02-01,29
"417eefaadac45e886d21f6e4445d4ea8484e99f64547998f01eb6ef632990c30",2018-10-22,2018-11-18,26
