"model","EUR_dev_total","EUR_per_MWh"
"snaive168",331812.539838757,14.7044611832953
"snaive24",368555.030548893,16.3327255300476
"lgbm",8162.69405012384,0.361734423507587
"xgb",8044.84264249144,0.356511771434916
"stack",6805.06891794713,0.301570494599839
