"cluster","cluster_label","cnae_section","cnae_section_label","n_users","pct_cluster","pct_global","support_ok"
4,"C4","H","H Transporte",24,1.368,0.102,TRUE
4,"C4","I","I Hosteleria",4,0.228,0.017,FALSE
4,"C4","J","J Informacion",1,0.057,0.004,FALSE
4,"C4","K","K Finanzas",1,0.057,0.004,FALSE
4,"C4","M","M Profesionales",15,0.855,0.064,FALSE
4,"C4","N","N Administrativas",9,0.513,0.038,FALSE
4,"C4","O","O Administracion",21,1.197,0.089,TRUE
4,"C4","P","P Educacion",10,0.57,0.043,FALSE
4,"C4","Q","Q Sanidad",13,0.741,0.055,FALSE
4,"C4","R","R Arte y ocio",3,0.171,0.013,FALSE
4,"C4","S","S Otros servicios",11,0.627,0.047,FALSE
4,"C4","T","T Hogares",1600,91.168,6.81,TRUE
5,"C5","A","A Agricultura",5,0.568,0.021,FALSE
5,"C5","C","C Industria",7,0.795,0.03,FALSE
5,"C5","D","D Energia",1,0.114,0.004,FALSE
5,"C5","D","Desconocido",3,0.341,0.013,FALSE
5,"C5","E","E Agua y residuos",3,0.341,0.013,FALSE
5,"C5","F","F Construccion",15,1.703,0.064,FALSE
5,"C5","G","G Comercio",23,2.611,0.098,TRUE
5,"C5","H","H Transporte",24,2.724,0.102,TRUE
5,"C5","I","I Hosteleria",18,2.043,0.077,FALSE
5,"C5","J","J Informacion",2,0.227,0.009,FALSE
5,"C5","L","L Inmobiliarias",1,0.114,0.004,FALSE
5,"C5","M","M Profesionales",14,1.589,0.06,FALSE
5,"C5","N","N Administrativas",3,0.341,0.013,FALSE
5,"C5","O","O Administracion",20,2.27,0.085,TRUE
5,"C5","P","P Educacion",9,1.022,0.038,FALSE
5,"C5","Q","Q Sanidad",3,0.341,0.013,FALSE
5,"C5","R","R Arte y ocio",13,1.476,0.055,FALSE
5,"C5","S","S Otros servicios",13,1.476,0.055,FALSE
5,"C5","T","T Hogares",704,79.909,2.997,TRUE
6,"C6","E","E Agua y residuos",4,0.574,0.017,FALSE
