"cod_provincia","provincia","indicativo","station_name","fecha","climate_row_imputed","climate_any_imputed","n_climate_values_imputed","variables_imputed","tmed","tmax","tmin","prec","hrMedia","sol","velmedia","hdd","cdd"
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-05-16,FALSE,TRUE,1,"prec",12.5,16.4,8.6,0.611688461895965,76,2.8,5,2.5,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-06-19,FALSE,TRUE,1,"prec",14.4,20.5,8.4,0,87,2.9,4.4,0.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-07-17,FALSE,TRUE,1,"prec",24,33.3,14.6,2.50887513238315,62,7.4,2.2,0,2
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-07-22,FALSE,TRUE,1,"prec",19.8,22.7,17,0.116722629096862,82,0.1,2.8,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-07-31,FALSE,TRUE,1,"prec",16.8,20.6,13,2.89913051516534,88,3.7,5,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-08-07,FALSE,TRUE,1,"prec",18.7,22.2,15.2,0,79,0.2,5.3,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-08-08,FALSE,TRUE,1,"prec",15.4,18.7,12,0,78,1.1,3.1,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-08-12,FALSE,TRUE,1,"prec",24.4,32.7,16.2,0.91259549726663,59,6.7,1.7,0,2.4
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-08-23,FALSE,TRUE,1,"prec",19.5,24.8,14.2,7.04945748803196,55,9.4,6.4,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-09-13,FALSE,TRUE,1,"prec",17.4,20.3,14.4,0,57,1.2,6.4,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-10-03,FALSE,TRUE,1,"prec",11.4,18.6,4.1,2.65483473241816,74,9.4,1.7,3.6,0
