"slice","MAE","WAPE","best_model"
"season=Invierno",3738.602,2.863,"xgb"
"season=Otono",1822.274,1.71,"xgb"
"season=Verano",1305.94,1.424,"xgb"
"dow=Fri",1957.847,1.817,"xgb"
"dow=Mon",2429.967,2.226,"xgb"
"dow=Sat",2160.684,2.054,"xgb"
"dow=Sun",2276.25,2.119,"xgb"
"dow=Thu",2073.015,1.889,"xgb"
"dow=Tue",2141.162,1.94,"xgb"
"dow=Wed",2176.047,1.983,"xgb"
